system,oxide,T_K,X_Cu,X_M,X_O,a_Cu,stable_phases,notes
Cu-Al-O,Al2O3,1800,0.9,0.04,0.06,0.0006242415932771841,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.855263,0.057895,0.086842,0.000624241593277183,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.810526,0.075789,0.113684,0.0006242415932771836,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.765789,0.093684,0.140526,0.0006242415932771836,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.721053,0.111579,0.167368,0.0006242415932771846,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.676316,0.129474,0.194211,0.0006242415932771836,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.631579,0.147368,0.221053,0.0006242415932771836,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.586842,0.165263,0.247895,0.0006242415932771836,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.542105,0.183158,0.274737,0.0006242415932771825,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.497368,0.201053,0.301579,0.0006242415932771836,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.452632,0.218947,0.328421,0.0006242415932771836,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.407895,0.236842,0.355263,0.000624241593277183,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.363158,0.254737,0.382105,0.0006242415932771836,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.318421,0.272632,0.408947,0.0006242415932771846,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.273684,0.290526,0.435789,0.000624241593277183,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.228947,0.308421,0.462632,0.0006242415932771825,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.184211,0.326316,0.489474,0.0006242415932771825,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.139474,0.344211,0.516316,0.000624241593277183,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.094737,0.362105,0.543158,0.0006242415932771825,CORUNDUM#1; IONIC_LIQ#1,
Cu-Al-O,Al2O3,1800,0.05,0.38,0.57,0.0006242415932771841,CORUNDUM#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.9,0.05,0.05,0.0006234486982757811,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.855263,0.072368,0.072368,0.0006234240698697985,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.810526,0.094737,0.094737,0.000623390113702764,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.765789,0.117105,0.117105,0.0006233465051459715,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.721053,0.139474,0.139474,0.0006232927260585453,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.676316,0.161842,0.161842,0.000623227990924277,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.631579,0.184211,0.184211,0.0006231511590811589,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.586842,0.206579,0.206579,0.0006230606192890642,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.542105,0.228947,0.228947,0.0006229541258469519,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.497368,0.251316,0.251316,0.0006228285531386366,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.452632,0.273684,0.273684,0.0006226795122556773,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.407895,0.296053,0.296053,0.000622500727556083,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.363158,0.318421,0.318421,0.0006222829760272391,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.318421,0.340789,0.340789,0.0006220121819606671,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.273684,0.363158,0.363158,0.0006216657532754782,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.228947,0.385526,0.385526,0.0006212048918444731,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.184211,0.407895,0.407895,0.0006205564490138872,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.139474,0.430263,0.430263,0.0006195624103164132,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.094737,0.452632,0.452632,0.0006177982099275926,HALITE#1; IONIC_LIQ#1,
Cu-Mn-O,MnO,1800,0.05,0.475,0.475,0.0006135214100988033,HALITE#1; IONIC_LIQ#1,
Cu-Fe-O,FeO,1800,0.9,0.05,0.05,0.0006192201975493238,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Fe-O,FeO,1800,0.855263,0.072368,0.072368,0.0006178389962257873,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Fe-O,FeO,1800,0.810526,0.094737,0.094737,0.0006164156519341792,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Fe-O,FeO,1800,0.765789,0.117105,0.117105,0.0006149434371808388,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Fe-O,FeO,1800,0.721053,0.139474,0.139474,0.0006134086362605692,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Fe-O,FeO,1800,0.676316,0.161842,0.161842,0.000611794507683605,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Fe-O,FeO,1800,0.631579,0.184211,0.184211,0.0006100815926117644,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Fe-O,FeO,1800,0.586842,0.206579,0.206579,0.0006082469669095847,IONIC_LIQ#1; IONIC_LIQ#3,
Cu-Fe-O,FeO,1800,0.542105,0.228947,0.228947,0.0006062629201632612,IONIC_LIQ#1; IONIC_LIQ#3,
Cu-Fe-O,FeO,1800,0.497368,0.251316,0.251316,0.0006040950268609877,IONIC_LIQ#1; IONIC_LIQ#3,
Cu-Fe-O,FeO,1800,0.452632,0.273684,0.273684,0.00060169933822934,IONIC_LIQ#1; IONIC_LIQ#3,
Cu-Fe-O,FeO,1800,0.407895,0.296053,0.296053,0.0005990181736125742,IONIC_LIQ#1; IONIC_LIQ#3,
Cu-Fe-O,FeO,1800,0.363158,0.318421,0.318421,0.0005959735807338218,IONIC_LIQ#1; IONIC_LIQ#3,
Cu-Fe-O,FeO,1800,0.318421,0.340789,0.340789,0.0005924567681126914,IONIC_LIQ#1; IONIC_LIQ#3,
Cu-Fe-O,FeO,1800,0.273684,0.363158,0.363158,0.0005883103133506319,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Fe-O,FeO,1800,0.228947,0.385526,0.385526,0.0005832970131890047,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Fe-O,FeO,1800,0.184211,0.407895,0.407895,0.0005770442311225281,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Fe-O,FeO,1800,0.139474,0.430263,0.430263,0.0005689524243180519,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-Fe-O,FeO,1800,0.094737,0.452632,0.452632,0.0005581573496582796,IONIC_LIQ#1; IONIC_LIQ#3,
Cu-Fe-O,FeO,1800,0.05,0.475,0.475,0.0005441813023263959,IONIC_LIQ#1; IONIC_LIQ#3,
Cu-V-O,V2O5,1800,0.9,0.028571,0.071429,0.0006089752639324707,IONIC_LIQ#1; IONIC_LIQ#2; V3O5_HT#1,
Cu-V-O,V2O5,1800,0.855263,0.041353,0.103383,0.0006089752639324707,IONIC_LIQ#1; IONIC_LIQ#2; V3O5_HT#1,
Cu-V-O,V2O5,1800,0.810526,0.054135,0.135338,0.000608975263932468,IONIC_LIQ#1; IONIC_LIQ#2; V3O5_HT#1,
Cu-V-O,V2O5,1800,0.765789,0.066917,0.167293,0.0006089752639324696,IONIC_LIQ#1; IONIC_LIQ#2; V3O5_HT#1,
Cu-V-O,V2O5,1800,0.721053,0.079699,0.199248,0.0006086989931423054,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-V-O,V2O5,1800,0.676316,0.092481,0.231203,0.0006075806595837329,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-V-O,V2O5,1800,0.631579,0.105263,0.263158,0.0006066170076563114,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-V-O,V2O5,1800,0.586842,0.118045,0.295113,0.0006057789423692359,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-V-O,V2O5,1800,0.542105,0.130827,0.327068,0.0006050440821113034,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-V-O,V2O5,1800,0.497368,0.143609,0.359023,0.0006043949529175177,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-V-O,V2O5,1800,0.452632,0.156391,0.390977,0.0006038177336590362,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-V-O,V2O5,1800,0.407895,0.169173,0.422932,0.0006033013642003349,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-V-O,V2O5,1800,0.363158,0.181955,0.454887,0.0006028368997837505,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-V-O,V2O5,1800,0.318421,0.194737,0.486842,0.0006024170362593856,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-V-O,V2O5,1800,0.273684,0.207519,0.518797,0.0006020357560719341,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-V-O,V2O5,1800,0.228947,0.220301,0.550752,0.0006016880609681081,IONIC_LIQ#1; IONIC_LIQ#2,
Cu-V-O,V2O5,1800,0.184211,0.233083,0.582707,0.00034204276467204723,IONIC_LIQ#2,
Cu-V-O,V2O5,1800,0.139474,0.245865,0.614662,0.00014786013105919774,IONIC_LIQ#2,
Cu-V-O,V2O5,1800,0.094737,0.258647,0.646617,6.016951044280985e-05,IONIC_LIQ#2,
Cu-V-O,V2O5,1800,0.05,0.271429,0.678571,3.304376173394248e-05,GAS#1; IONIC_LIQ#2,
